ID,Name,Part Number,Category,Short Description,Long Description,Weight,Handling Capacity,Regulations,Sump Capacity,PLength,PWidth,PHeight,"Dimension Type (Drum, Pool, etc)",Product Option 1(Item_ID),Product Option 2(Item_ID),Product Option 3(Item_ID)
1299-YE,Wheeled Overpack® 95 Salvage Drum,1299-YE,Salvage Drum/Overpacks,Wheeled Overpack® 95 Salvage Drum,ENPAC’s Wheeled Overpacks® are the first mobile one-piece overpack on wheels that can handle 55-gallon drums. A Salvage Drum and dolly in one! They completely eliminate the need for a separate dolly transportation. The 50-gallon polyethylene UN rated Salvage Drums have built-in handles and 6” Polyolefin wheels that allow for easy steering through doorways and around any obstacle. Ideal for mobile Spill Kits.,57.7/26.2,250/113,"UN 1H2/X125/S,
DOT 49 CFR 173.3(c),
EPA, SPCC and NPDES",95/359.6,,,,Drum,1259-YE,1237-YE,5200-YE
1300-YE,Fast Pack™ Spill Kit,1300-YE,Spill Kits,Fast Pack™ Spill Kit Universal,"This compact and portable vehicle response kit is for your most small transportation spills, held in a yellow water-resistant nylon bag. A single heavy-duty strap provides convenient transport and response. These packs are especially great for fueling locations! Refills available for all Spill Kits. Now available in Woodland and Desert Camo.

Absorbs up to 5 gallons/19 liters

Spill Kit includes:
Heavy duty duffel,
10 Pads,
2 - Small Socks,
1 Disposal Bag and Tie
Also contains baggie with:
1 pr Nitrile Gloves,
8 oz. STARDUST,
Emergency Response Guide,
Instruction Sheet and MSDS(s).",,,"EPA, SPCC, NPDES",,,,,Standard,1300-WC,1300-TC,FD324-0901-00EP
1301-YE,Fast Pack™ Spill Kit,1301-YE,Spill Kits,Fast Pack™ Spill Kit Aggressive,"This compact and portable vehicle response kit is for your most small transportation spills, held in a yellow water-resistant nylon bag. A single heavy-duty strap provides convenient transport and response. These packs are especially great for fueling locations! Refills available for all Spill Kits. Now available in Woodland and Desert Camo.

Absorbs up to 5 gallons/19 liters

Spill Kit includes:
Heavy duty duffel,
10 Pads,
2 - Small Socks,
1 Disposal Bag and Tie
Also contains baggie with:
1 pr Nitrile Gloves,
8 oz. STARDUST,
Emergency Response Guide,
Instruction Sheet and MSDS(s).",,,"EPA, SPCC, NPDES",,,,,Standard,1301-WC,1301-TC,FD324-0901-00EP
1302-YE,Fast Pack™ Spill Kit,1302-YE,Spill Kits,Fast Pack™ Spill Kit Oil Only,"This compact and portable vehicle response kit is for your most small transportation spills, held in a yellow water-resistant nylon bag. A single heavy-duty strap provides convenient transport and response. These packs are especially great for fueling locations! Refills available for all Spill Kits. Now available in Woodland and Desert Camo.

Absorbs up to 5 gallons/19 liters

Spill Kit includes:
Heavy duty duffel,
10 Pads,
2 - Small Socks,
1 Disposal Bag and Tie
Also contains baggie with:
1 pr Nitrile Gloves,
8 oz. STARDUST,
Emergency Response Guide,
Instruction Sheet and MSDS(s).",,,"EPA, SPCC, NPDES",,,,,Standard,1302-WC,1302-TC,FD324-0901-00EP
1310-YE,Speedy Duffel™ Spill Kit,1310-YE,Spill Kits,Speedy Duffel™ Spill Kit Universal,"This compact and portable vehicle response kit is for your larger  transportation spills, held in a yellow water-resistant nylon bag. Two heavy-duty straps provide convenient transport and response. These duffels are especially great for fueling locations! Refills available for all Spill Kits. Now available in Woodland and Desert Camo.

Absorbs up to 10 gallons/38 liters

Spill Kit includes:
Heavy duty duffel,
20 Pads,
2 - Large Socks, 3 - Small Socks,
1 Disposal Bag and Tie,
1 pr Nitrile Gloves,
1 pr Goggles,
8 oz. STARDUST,
Emergency Response Guide, 
nstruction Sheet and MSDS(s).",,,"EPA, SPCC, NPDES",,,,,Standard,1310-WC,1310-TC,FD324-0901-00EP
1311-YE,Speedy Duffel™ Spill Kit,1311-YE,Spill Kits,Speedy Duffel™ Spill Kit Aggressive,"This compact and portable vehicle response kit is for your larger  transportation spills, held in a yellow water-resistant nylon bag. Two heavy-duty straps provide convenient transport and response. These duffels are especially great for fueling locations! Refills available for all Spill Kits. Now available in Woodland and Desert Camo.

Absorbs up to 10 gallons/38 liters

Spill Kit includes:
Heavy duty duffel,
20 Pads,
2 - Large Socks, 3 - Small Socks,
1 Disposal Bag and Tie,
1 pr Nitrile Gloves,
1 pr Goggles,
8 oz. STARDUST,
Emergency Response Guide, 
nstruction Sheet and MSDS(s).",,,"EPA, SPCC, NPDES",,,,,Standard,1311-WC,1311-TC,FD324-0901-00EP
1312-YE,Speedy Duffel™ Spill Kit,1312-YE,Spill Kits,Speedy Duffel™ Spill Kit Oil Only,"This compact and portable vehicle response kit is for your larger  transportation spills, held in a yellow water-resistant nylon bag. Two heavy-duty straps provide convenient transport and response. These duffels are especially great for fueling locations! Refills available for all Spill Kits. Now available in Woodland and Desert Camo.

Absorbs up to 10 gallons/38 liters

Spill Kit includes:
Heavy duty duffel,
20 Pads,
2 - Large Socks, 3 - Small Socks,
1 Disposal Bag and Tie,
1 pr Nitrile Gloves,
1 pr Goggles,
8 oz. STARDUST,
Emergency Response Guide, 
nstruction Sheet and MSDS(s).",,,"EPA, SPCC, NPDES",,,,,Standard,1312-WC,1312-TC,FD324-0901-00EP
1314-RD,Trauma-Sorb® Spill Kits,1314-RD,Spill Kits,Trauma-Sorb® Fast Pack Spill Kit,"Compact and portable, Trauma-Sorb® heavyweight Kit includes:
Fast Pack Heavy-duty Duffel, 
6 - Flat Socks,
10 - HW Pads,
25-Wipers,
1- Disposal Bags w/Tie,
1 pr Nitrile Gloves,
1 pr Goggles, and MSDS(s). 
absorbent kits protect medical
equipment, staff, and the
environment in emergency 
esponse conditions.   Provides
absorption protection for saline,
sterilants, blood and other body
fluids. Convenient nylon handles
and straps provide easy transport
and response. Refills available. Trauma-Sorb® used by permission. 
US patent # 5476456",,,,,,,,Sorbents,1315-RD,ENP FGI-101750,ENP FGM-003272
1315-RD,Trauma-Sorb® Spill Kits,1315-RD,Spill Kits,Trauma-Sorb® Speedy Duffel Spill Kit,"Compact and portable, Trauma-Sorb® heavyweight Kit includes:
Speedy Duffel Heavy-duty Duffel, 
1 - Box Flat Socks,
25 - HW Pads,
50-Wipers,
2- Disposal Bags w/Ties,
2 pr Nitrile Gloves,
2 pr Goggles, and MSDS(s).  

absorbent kits protect medical
equipment, staff, and the
environment in emergency 
esponse conditions.   Provides
absorption protection for saline,
sterilants, blood and other body
fluids. Convenient nylon handles
and straps provide easy transport
and response. Refills available. Trauma-Sorb® used by permission. 
US patent # 5476456",,,,,,,,Sorbents,1314-RD,ENP FGI-101750,ENP FGM-003272
1320-RF,Replacement/ Refill Kits,1320-RF,Spill Kits,20 Gal Replacement Kit,"No need to buy the same spill kits over and over again. If the original container is still good (Salvage Drum, Bag, etc.) buy an ENPAC®Refill Kit to put in your container. Most ENPAC®Spill Kits have Refill Kits available. Call for more details.",,,"EPA, SPCC, NPDES",,,,,Standard,1320-YE,13-LRK,6000-YE
1320-YE,20 Gallon Spill Kit,1320-YE,Spill Kits,20 Gallon Spill Kit Universal,"All of ENPAC’s traditional products come together to make great Spill Kits! Spill Kit includes:
20 Gal. Salvage Drum,
20 Pads,
1 - Large Sock, 6 - Small Socks,
1 package Wipers,
3# of STARDUST,
2 Disposal Bags with Ties,
1 pr Nitrile Gloves,
1 pr Goggles,
Emergency Response Guide,
Instruction Sheet and MSDS(s).

Did you know that the average hazmat spill can cost $30,000 in clean-up and other expenses per incident? These highly visible containers keep spill response products readily available so you can avoid that oh-so costly problem. Various sizes are available for different types of applications. 

Absorbs up to 11 gallons/42 liters",,166/75,"EPA, SPCC, NPDES",,,,,Standard,1320-RF,13-LRK,5116-YE
1321-RF,Replacement/ Refill Kits,1321-RF,Spill Kits,20 Gal Replacement Kit,"No need to buy the same spill kits over and over again. If the original container is still good (Salvage Drum, Bag, etc.) buy an ENPAC®Refill Kit to put in your container. Most ENPAC®Spill Kits have Refill Kits available. Call for more details.",,,"EPA, SPCC, NPDES",,,,,Standard,1321-YE,13-LRK,5205-YE
1321-YE,20 Gallon Spill Kit,1321-YE,Spill Kits,20 Gallon Spill Kit Aggressive,"All of ENPAC’s traditional products come together to make great Spill Kits! Spill Kit includes:
20 Gal. Salvage Drum,
20 Pads,
1 - Large Sock, 6 - Small Socks,
1 package Wipers,
3# of STARDUST,
2 Disposal Bags with Ties,
1 pr Nitrile Gloves,
1 pr Goggles,
Emergency Response Guide,
Instruction Sheet and MSDS(s).

Did you know that the average hazmat spill can cost $30,000 in clean-up and other expenses per incident? These highly visible containers keep spill response products readily available so you can avoid that oh-so costly problem. Various sizes are available for different types of applications. 

Absorbs up to 11 gallons/42 liters",,166/75,"EPA, SPCC, NPDES",,,,,Standard,1321-RF,13-LRK,5765-YE
1322-RF,Replacement/ Refill Kits,1322-RF,Spill Kits,20 Gal Replacement Kit,"No need to buy the same spill kits over and over again. If the original container is still good (Salvage Drum, Bag, etc.) buy an ENPAC®Refill Kit to put in your container. Most ENPAC®Spill Kits have Refill Kits available. Call for more details.",,,"EPA, SPCC, NPDES",,,,,Standard,1322-YE,13-LRK,1299-YE
1322-YE,20 Gallon Spill Kit,1322-YE,Spill Kits,20 Gallon Spill Kit Oil Only,"All of ENPAC’s traditional products come together to make great Spill Kits! Spill Kit includes:
20 Gal. Salvage Drum,
20 Pads,
1 - Large Sock, 6 - Small Socks,
1 package Wipers,
3# of STARDUST,
2 Disposal Bags with Ties,
1 pr Nitrile Gloves,
1 pr Goggles,
Emergency Response Guide,
Instruction Sheet and MSDS(s).

Did you know that the average hazmat spill can cost $30,000 in clean-up and other expenses per incident? These highly visible containers keep spill response products readily available so you can avoid that oh-so costly problem. Various sizes are available for different types of applications. 

Absorbs up to 11 gallons/42 liters",,166/75,"EPA, SPCC, NPDES",,,,,Standard,1322-RF,13-LRK,5700-YE
1330-RF,Replacement/ Refill Kits,1330-RF,Spill Kits,30 Gal Replacement Kit,"No need to buy the same spill kits over and over again. If the original container is still good (Salvage Drum, Bag, etc.) buy an ENPAC®Refill Kit to put in your container. Most ENPAC®Spill Kits have Refill Kits available. Call for more details.",,,"EPA, SPCC, NPDES",,,,,Standard,1330-YE,13-LRK,5116-YE
1330-YE,30 Gallon Spill Kit,1330-YE,Spill Kits,30 Gallon Spill Kit Universal,"All of ENPAC’s traditional products come together to make great Spill Kits!

Did you know that the average hazmat spill can cost $30,000 in clean-up and other expenses per incident? These highly visible containers keep spill response products readily available so you can avoid that oh-so costly problem. Various sizes are available for different types of applications.
Absorbs up to 23 gallons/87 liters

Spill Kit includes:
30 Gal. Salvage Drum,
50 Pads,
2 - Large Socks, 6 - Small Socks,
1 package Wipers,
3# of STARDUST,
2 Disposal Bags with Ties,
1 pr Nitrile Gloves,
1 pr Goggles,
Emergency Response Guide,
Instruction Sheet and MSDS(s).",,220/100,"EPA, SPCC, NPDES",,,,,Standard,1330-RF,13-LRK,6000-YE
1331-RF,Replacement/ Refill Kits,1331-RF,Spill Kits,30 Gal Replacement Kit,"No need to buy the same spill kits over and over again. If the original container is still good (Salvage Drum, Bag, etc.) buy an ENPAC®Refill Kit to put in your container. Most ENPAC®Spill Kits have Refill Kits available. Call for more details.",,,"EPA, SPCC, NPDES",,,,,Standard,1331-YE,13-LRK,5765-YE
1331-YE,30 Gallon Spill Kit,1331-YE,Spill Kits,30 Gallon Spill Kit Aggressive,"All of ENPAC’s traditional products come together to make great Spill Kits!

Did you know that the average hazmat spill can cost $30,000 in clean-up and other expenses per incident? These highly visible containers keep spill response products readily available so you can avoid that oh-so costly problem. Various sizes are available for different types of applications.
Absorbs up to 23 gallons/87 liters

Spill Kit includes:
30 Gal. Salvage Drum,
50 Pads,
2 - Large Socks, 6 - Small Socks,
1 package Wipers,
3# of STARDUST,
2 Disposal Bags with Ties,
1 pr Nitrile Gloves,
1 pr Goggles,
Emergency Response Guide,
Instruction Sheet and MSDS(s).",,220/100,"EPA, SPCC, NPDES",,,,,Standard,1331-RF,13-LRK,5205-YE
1332-RF,Replacement/ Refill Kits,1332-RF,Spill Kits,30 Gal Replacement Kit,"No need to buy the same spill kits over and over again. If the original container is still good (Salvage Drum, Bag, etc.) buy an ENPAC®Refill Kit to put in your container. Most ENPAC®Spill Kits have Refill Kits available. Call for more details.",,,"EPA, SPCC, NPDES",,,,,Standard,1332-YE,13-LRK,5700-YE
1332-YE,30 Gallon Spill Kit,1332-YE,Spill Kits,30 Gallon Spill Kit Oil Only,"All of ENPAC’s traditional products come together to make great Spill Kits!

Did you know that the average hazmat spill can cost $30,000 in clean-up and other expenses per incident? These highly visible containers keep spill response products readily available so you can avoid that oh-so costly problem. Various sizes are available for different types of applications.
Absorbs up to 23 gallons/87 liters

Spill Kit includes:
30 Gal. Salvage Drum,
50 Pads,
2 - Large Socks, 6 - Small Socks,
1 package Wipers,
3# of STARDUST,
2 Disposal Bags with Ties,
1 pr Nitrile Gloves,
1 pr Goggles,
Emergency Response Guide,
Instruction Sheet and MSDS(s).",,220/100,"EPA, SPCC, NPDES",,,,,Standard,1332-RF,13-LRK,1299-YE
1340-,Storm Sentinel Adjustable Catch Basin Insert™ Round,1340-,Stormwater,Adjustable Catch Basin Insert,"The Storm Sentinel Drain Protection Inserts help companies comply with Stormwater Pollution Prevention Plans and Stormwater Best Management Practices by protecting your storm drains and catch basins. It is the sure way to catch oil and sediment headed into storm drains and sewers. Equipped with an oil-absorbent media in a screened bag, the Storm Sentinel guards against any potential discharge.

ENPAC’s enhanced design has increased the surface area for greater sediment retention while decreasing the depth of the unit in the catch basin.

 

1341 & 1344 fit any size rectangular catch basin’s from 16”x20” to 28”x36”. XL version fits rectangular catch basin’s up to 42”x42”.
1340 & 1343 fit any size round catch basin’s from 27” to 29” in diameter. Custom sizes available.
Up to 500 GPM overflow rate helps avoid ponding.
Requires no special tools to install.
Helps comply with NPDES, 40 CFR 122.26 when used as Best Management Practice in Storm Water Pollution Prevention Plans.
TO INSTALL: Remove grate and adjust wire frame to fit in recess. Place insert into recess and frame into corners. Replace metal grate.

TO REMOVE: Lift the grate, grab the handle and pull out the insert. No part of the insert extends above the surface.",2/.9,,"EPA, SPCC, NPDES",,,,,Adjustables,1341-TD,1341-TD-XL,ENP-IE0078
1340-TD,Storm Sentinel Adjustable Catch Basin Insert™ Round,1340-TD,Stormwater,Adjustable Catch Basin Insert,"The Storm Sentinel Drain Protection Inserts help companies comply with Stormwater Pollution Prevention Plans and Stormwater Best Management Practices by protecting your storm drains and catch basins. It is the sure way to catch oil and sediment headed into storm drains and sewers. Equipped with an oil-absorbent media in a screened bag, the Storm Sentinel guards against any potential discharge.

ENPAC’s enhanced design has increased the surface area for greater sediment retention while decreasing the depth of the unit in the catch basin.

 

1341 & 1344 fit any size rectangular catch basin’s from 16”x20” to 28”x36”. XL version fits rectangular catch basin’s up to 42”x42”.
1340 & 1343 fit any size round catch basin’s from 27” to 29” in diameter. Custom sizes available.
Up to 500 GPM overflow rate helps avoid ponding.
Requires no special tools to install.
Helps comply with NPDES, 40 CFR 122.26 when used as Best Management Practice in Storm Water Pollution Prevention Plans.
TO INSTALL: Remove grate and adjust wire frame to fit in recess. Place insert into recess and frame into corners. Replace metal grate.

TO REMOVE: Lift the grate, grab the handle and pull out the insert. No part of the insert extends above the surface.",2/.9,,"EPA, SPCC, NPDES",,,,,Adjustables,1341-TD,1341-TD-XL,ENP-IE0077
1341-,Storm Sentinel Adjustable Catch Basin Insert™ Rectangular,1341-,Stormwater,Adjustable Catch Basin Insert,"The Storm Sentinel Drain Protection Inserts help companies comply with Stormwater Pollution Prevention Plans and Stormwater Best Management Practices by protecting your storm drains and catch basins. It is the sure way to catch oil and sediment headed into storm drains and sewers. Equipped with an oil-absorbent media in a screened bag, the Storm Sentinel guards against any potential discharge.

ENPAC’s enhanced design has increased the surface area for greater sediment retention while decreasing the depth of the unit in the catch basin.

 

1341 & 1344 fit any size rectangular catch basin’s from 16”x20” to 28”x36”. XL version fits rectangular catch basin’s up to 42”x42”.
1340 & 1343 fit any size round catch basin’s from 27” to 29” in diameter. Custom sizes available.
Up to 500 GPM overflow rate helps avoid ponding.
Requires no special tools to install.
Helps comply with NPDES, 40 CFR 122.26 when used as Best Management Practice in Storm Water Pollution Prevention Plans.
TO INSTALL: Remove grate and adjust wire frame to fit in recess. Place insert into recess and frame into corners. Replace metal grate.

TO REMOVE: Lift the grate, grab the handle and pull out the insert. No part of the insert extends above the surface.",2/.9,,"EPA, SPCC, NPDES",,,,,Adjustables,1340-TD,1340-,1343-
1341-TD,Storm Sentinel Adjustable Catch Basin Insert™ Rectangular,1341-TD,Stormwater,Adjustable Catch Basin Insert,"The Storm Sentinel Drain Protection Inserts help companies comply with Stormwater Pollution Prevention Plans and Stormwater Best Management Practices by protecting your storm drains and catch basins. It is the sure way to catch oil and sediment headed into storm drains and sewers. Equipped with an oil-absorbent media in a screened bag, the Storm Sentinel guards against any potential discharge.

ENPAC’s enhanced design has increased the surface area for greater sediment retention while decreasing the depth of the unit in the catch basin.

 

1341 & 1344 fit any size rectangular catch basin’s from 16”x20” to 28”x36”. XL version fits rectangular catch basin’s up to 42”x42”.
1340 & 1343 fit any size round catch basin’s from 27” to 29” in diameter. Custom sizes available.
Up to 500 GPM overflow rate helps avoid ponding.
Requires no special tools to install.
Helps comply with NPDES, 40 CFR 122.26 when used as Best Management Practice in Storm Water Pollution Prevention Plans.
TO INSTALL: Remove grate and adjust wire frame to fit in recess. Place insert into recess and frame into corners. Replace metal grate.

TO REMOVE: Lift the grate, grab the handle and pull out the insert. No part of the insert extends above the surface.",2/.9,,"EPA, SPCC, NPDES",,,,,Adjustables,1340-TD,1340-,1343-
1341-TD-XL,Storm Sentinel Adjustable Catch Basin Insert™ X-Large Rectangular,1341-TD-XL,Stormwater,Adjustable Catch Basin Insert,"The Storm Sentinel Drain Protection Inserts help companies comply with Stormwater Pollution Prevention Plans and Stormwater Best Management Practices by protecting your storm drains and catch basins. It is the sure way to catch oil and sediment headed into storm drains and sewers. Equipped with an oil-absorbent media in a screened bag, the Storm Sentinel guards against any potential discharge.

ENPAC’s enhanced design has increased the surface area for greater sediment retention while decreasing the depth of the unit in the catch basin.

 

1341 & 1344 fit any size rectangular catch basin’s from 16”x20” to 28”x36”. XL version fits rectangular catch basin’s up to 42”x42”.
1340 & 1343 fit any size round catch basin’s from 27” to 29” in diameter. Custom sizes available.
Up to 500 GPM overflow rate helps avoid ponding.
Requires no special tools to install.
Helps comply with NPDES, 40 CFR 122.26 when used as Best Management Practice in Storm Water Pollution Prevention Plans.
TO INSTALL: Remove grate and adjust wire frame to fit in recess. Place insert into recess and frame into corners. Replace metal grate.

TO REMOVE: Lift the grate, grab the handle and pull out the insert. No part of the insert extends above the surface.",3/1.4,,"EPA, SPCC, NPDES",,,,,Adjustables,1341-TD,1341-,1344-
1341-XL,Storm Sentinel Adjustable Catch Basin Insert™ X-Large Rectangular,1341-XL,Stormwater,Adjustable Catch Basin Insert,"The Storm Sentinel Drain Protection Inserts help companies comply with Stormwater Pollution Prevention Plans and Stormwater Best Management Practices by protecting your storm drains and catch basins. It is the sure way to catch oil and sediment headed into storm drains and sewers. Equipped with an oil-absorbent media in a screened bag, the Storm Sentinel guards against any potential discharge.

ENPAC’s enhanced design has increased the surface area for greater sediment retention while decreasing the depth of the unit in the catch basin.

 

1341 & 1344 fit any size rectangular catch basin’s from 16”x20” to 28”x36”. XL version fits rectangular catch basin’s up to 42”x42”.
1340 & 1343 fit any size round catch basin’s from 27” to 29” in diameter. Custom sizes available.
Up to 500 GPM overflow rate helps avoid ponding.
Requires no special tools to install.
Helps comply with NPDES, 40 CFR 122.26 when used as Best Management Practice in Storm Water Pollution Prevention Plans.
TO INSTALL: Remove grate and adjust wire frame to fit in recess. Place insert into recess and frame into corners. Replace metal grate.

TO REMOVE: Lift the grate, grab the handle and pull out the insert. No part of the insert extends above the surface.",3/1.4,,"EPA, SPCC, NPDES",,,,,Adjustables,1341-TD,1341-,1344-
1343-,Storm Sentinel Adjustable Catch Basin Insert™ Round,1343-,Stormwater,Adjustable Catch Basin Insert,"The Storm Sentinel Drain Protection Inserts help companies comply with Stormwater Pollution Prevention Plans and Stormwater Best Management Practices by protecting your storm drains and catch basins. It is the sure way to catch oil and sediment headed into storm drains and sewers. Equipped with an oil-absorbent media in a screened bag, the Storm Sentinel guards against any potential discharge.

ENPAC’s enhanced design has increased the surface area for greater sediment retention while decreasing the depth of the unit in the catch basin.

 

1341 & 1344 fit any size rectangular catch basin’s from 16”x20” to 28”x36”. XL version fits rectangular catch basin’s up to 42”x42”.
1340 & 1343 fit any size round catch basin’s from 27” to 29” in diameter. Custom sizes available.
Up to 500 GPM overflow rate helps avoid ponding.
Requires no special tools to install.
Helps comply with NPDES, 40 CFR 122.26 when used as Best Management Practice in Storm Water Pollution Prevention Plans.
TO INSTALL: Remove grate and adjust wire frame to fit in recess. Place insert into recess and frame into corners. Replace metal grate.

TO REMOVE: Lift the grate, grab the handle and pull out the insert. No part of the insert extends above the surface.",3/1.4,,"EPA, SPCC, NPDES",,,,,Adjustables,1341-TD,1341-TD-XL,ENP-IE0079
