ID,Name,Part Number,Short Description,Long Description,Weight,Handling Capacity,Regulations,Sump Capacity,PLength,PWidth,PHeight,"Dimension Type (Drum, Pool, etc)",Product Option 1(Item_ID),Product Option 2(Item_ID),Product Option 3(Item_ID)
13-WMXL-U,"Extra Large Wall Mount Spill Locker, Universal",13-WMXL-U,"Visible, Durable and Virtually Indistructable!",Keep your Spill Kits at eye level with ENPAC Spill Lockers. Loaded with everything you will need to absorb your spills from the factory floor to the utility kitchens. Large sizes also available. ,47.2 lbs. / 21.4 kg,,,,,,,Standard,13-WML-U,ENP D503CS,ENP D710
13-WMXL-A,"Extra Large Wall Mount Spill Locker, Aggressive",13-WMXL-A,"Visible, Durable and Virtually Indistructable!",Keep your Spill Kits at eye level with ENPAC Spill Lockers. Loaded with everything you will need to absorb your spills from the factory floor to the utility kitchens. Large sizes also available. ,47.2 lbs. / 21.4 kg,,,,,,,Standard,13-WML-A,ENP D503CS,ENP D710
23-WMXL-O,"Extra Large Wall Mount Spill Locker, Oil-Only",23-WMXL-O,"Visible, Durable and Virtually Indistructable!",Keep your Spill Kits at eye level with ENPAC Spill Lockers. Loaded with everything you will need to absorb your spills from the factory floor to the utility kitchens. Large sizes also available. ,47.2 lbs. / 21.4 kg,,,,,,,Standard,13-WML-O,ENP D503CS,ENP D710
13-ESS,ENSORB® Spill Station,13-ESS,Everything you will need for a quick clean up!,"Reduce slip and fall accidents from workplace A to Z while saving valuable floor-space! No need to scour the cabinets, everything you need for an efficient cleanup is right at your fingertips. ENSORB® super absorbent is mineral-based and is the foundation of this wall mountable kit. Also available in deluxe.",3 lbs. / 1.4 kg,,"EPA, SPCC, and NPDES",,,,,Standard,13-ESSD,ENP D503CS,ENP D710
13-ESSD,ENSORB® Spill Station Deluxe,13-ESSD,Everything you will need for a quick clean up!,"Reduce slip and fall accidents from workplace A to Z while saving valuable floor-space! No need to scour the cabinets, everything you need for an efficient cleanup is right at your fingertips. ENSORB® super absorbent is mineral-based and is the foundation of this wall mountable kit. Also available in standard.",6 lbs. / 2.6 kg,,"EPA, SPCC, and NPDES",,,,,Standard,13-ESS,ENP D503CS,ENP D710
ENP D710,ENSORB® Super Absorbent Spill Kit,ENP D710,Super Portable. Super Absorbent!,Finally a kit that can do it all! Mobility and convenience meet with this ENSORB®-powered pack that you can store anywhere spills may happen!,9.4 lbs. / 4.3 kg,,,,,,,Standard,13-ESS,13-ESSD,ENP D503CS
13-NNX1-A,Chemklenz Neutralizing X1 Spill Kit,13-NNX1-A,The Nasty-Neutralizer,"Nasty spill? You can never be too safe when dealing with unknown chemicals and liquids. Be armed with our newest Chemklenz® Neutralizing Kits. Fully ready to tackle your meanest of spills, Chemklenz® Nano technology makes it the market’s leading Absorbent and Neutralizer for acids, bases, caustics, and solvents. Three sizes available.",3 lbs. / 1.4 kg,,,,,,,Standard,13-NNX5-A,13-NNX10-A,FA324-0750-00EP
13-NNX5-A,Chemklenz Neutralizing X5 Spill Kit,13-NNX5-A,The Nasty-Neutralizer,"Nasty spill? You can never be too safe when dealing with unknown chemicals and liquids. Be armed with our newest Chemklenz® Neutralizing Kits. Fully ready to tackle your meanest of spills, Chemklenz® Nano technology makes it the market’s leading Absorbent and Neutralizer for acids, bases, caustics, and solvents. Three sizes available.",5.2 lbs. / 2.4 kg,,,,,,,Standard,13-NNX10-A,13-NNX1-A,FA324-0750-00EP
13-NNX10-A,Chemklenz Neutralizing X10 Spill Kit,13-NNX10-A,The Nasty-Neutralizer,"Nasty spill? You can never be too safe when dealing with unknown chemicals and liquids. Be armed with our newest Chemklenz® Neutralizing Kits. Fully ready to tackle your meanest of spills, Chemklenz® Nano technology makes it the market’s leading Absorbent and Neutralizer for acids, bases, caustics, and solvents. Three sizes available.",13 lbs/ 5.9 kg,,,,,,,Standard,13-NNX1-A,13-NNX5-A,FA324-0750-00EP
13-ELHT-U,Econo Long Haul Truck Kit Universal,13-ELHT-U,The Kit that is as mobile as you are!,Your quick and convenient travel pal for any spill while you’re on the move! Keep it handy in your cab or small enough to store in a toolbox. Also Available in Deluxe. ,7 lbs. / 3.2 kg,,,,,,,Standard,13-ELHT-O,13-TWSK-U,13-TWSK-O
13-ELHT-O,Econo Long Haul Truck Kit Oil-Only,13-ELHT-O,The Kit that is as mobile as you are!,Your quick and convenient travel pal for any spill while you’re on the move! Keep it handy in your cab or small enough to store in a toolbox. Also Available in Deluxe. ,7 lbs. / 3.2 kg,,,,,,,Standard,13-ELHT-U,13-TWSK-O,13-TWSK-U
13-TS,Tamper Seal Label,13-TS,You visual Spill Kit indicator. ,How do you know if all or part of your kit has been used? These sturdy labels provide the visual reassurance that your Spill Kit has not been tampered with at the moment you need it most.,,,,,,,,Sorbents,R14007,8050-BU,13-LRK
2030-TARP,Poly-Top For 20 & 30 Gallon Drums,2030-TARP,Protect your Poly-Overpacks,"Poly-top prevents the accumulation of water, snow, dirt and debris on overpack lids while protecting overpacks against weathering and long-term UV degradation. The high-visibility color and clear MSDS pocket are added features to the Poly-Top that are made to fit 20, 30, 65 & 95-Gallon Poly-Overpacks® and Spill Kits",1.3 lbs. / .6 kg,,,,,,,Flexibles,1220-YE,1230-YE,1330-YE
6595-TARP,Poly-Top For 65 & 95 Gallon Drums,6595-TARP,Protect your Poly-Overpacks,"Poly-top prevents the accumulation of water, snow, dirt and debris on overpack lids while protecting overpacks against weathering and long-term UV degradation. The high-visibility color and clear MSDS pocket are added features to the Poly-Top that are made to fit 20, 30, 65 & 95-Gallon Poly-Overpacks® and Spill Kits",3 lbs. / 1.4 kg,,,,,,,Flexibles,1065-YE,1390-YE,1360-YE
ENP D715,Hand Carried Spill Kit Universal,ENP D715,Grab and Go!,Need Spill response on the go? This Hand Carried Kit is quick and efficient for you unplanned spills.,6 lbs. / 2.7 kg,,"EPA, SPCC, and NPDES",,,,,Standard,ENP D716,ENP D717,13-SP2U
ENP D716,Hand Carried Spill Kit Oil Only,ENP D716,Grab and Go!,Need Spill response on the go? This Hand Carried Kit is quick and efficient for you unplanned spills.,6 lbs. / 2.7 kg,,"EPA, SPCC, and NPDES",,,,,Standard,ENP D717,ENP D715,13-SP2O
ENP D717,Hand Carried Spill Kit Aggressive,ENP D717,Grab and Go!,Need Spill response on the go? This Hand Carried Kit is quick and efficient for you unplanned spills.,6 lbs. / 2.7 kg,,"EPA, SPCC, and NPDES",,,,,Standard,ENP D715,ENP D716,13-SP2A
Leak Diverter,Leak Diverter,Leak Diverter,Your Catch-All.,"Get instant drip diversion with the new Leak Diverter. This funnel-style  fast-response tool will channel away your liquids minimizing the risk of slip-and-fall injuries and contamination. A flowrate of over three (3) gallons per minute and a convenient drain hose make containing and redirecting drips, drops, and leaks a breeze! Made of durable and resistant XR5, the Diverter is resistant to most chemicals, and punctures allowing for reuse and dependability.",,,,,,,,Flexibles,1310-YE,1302-YE,1390-BK
Flex-Pal,Flex-Pal,Flex-Pal,Instant Pallet Containment,"The versatility of portable containment meets the durability of the classic spill-pallet with the all-new ENPAC® FlexPal. Available in multiple variations and sizes, these units give you the accessibility of fabric combined with the strength of rigid pallets ENPAC® is known for producing worldwide. Cross-stabling technology keeps your drums out of the spill and allows access to the sump for easy clean-up. Perfect for use with the Poly-Ramp™ to make movement of drums a breeze. When not in use, simple snap and folds allow for storage virtually anywhere, freeing up valuable shelf and floor space. Save a bundle on shipping with manageable box and just minutes to set up!",,,,,,,,,5750-YE,5110-YE,5400-YE
13-SHT30,30 Gal Multi-Responder SHT Kit,13-SHT30,Seriously Harzardous & Toxic,"Dealing with Seriously Hazardous and Toxic materials? Look no further! ENPAC® has created the most extreme weapon when it comes to fighting spills. Complete with the widest range of sorbent tools and protective gear, these kits will stand up to your biggest, toughest, dirtiest challenge.",,,,30 gal. / 113.5 liters,,,,Standard,13-WSHT50,13-SHT95,13-ESHT95
13-WSHT50,50 Gal Wheeled Multi-Responder SHT Kit,13-WSHT50,Seriously Harzardous & Toxic,"Dealing with Seriously Hazardous and Toxic materials? Look no further! ENPAC® has created the most extreme weapon when it comes to fighting spills. Complete with the widest range of sorbent tools and protective gear, these kits will stand up to your biggest, toughest, dirtiest challenge.",,,,50 gal. / 189.3 liters,,,,Standard,13-SHT95,13-ESHT95,13-WSHT95
13-SHT95,95 Gal Multi-Responder SHT Kit,13-SHT95,Seriously Harzardous & Toxic,"Dealing with Seriously Hazardous and Toxic materials? Look no further! ENPAC® has created the most extreme weapon when it comes to fighting spills. Complete with the widest range of sorbent tools and protective gear, these kits will stand up to your biggest, toughest, dirtiest challenge.",,,,95 gal. / 359.6 liters,,,,Standard,13-ESHT95,13-WSHT95,13-SHTT
13-ESHT95,95 Gal Multi-Responder ECO SHT Kit,13-ESHT95,Seriously Harzardous & Toxic,"Dealing with Seriously Hazardous and Toxic materials? Look no further! ENPAC® has created the most extreme weapon when it comes to fighting spills. Complete with the widest range of sorbent tools and protective gear, these kits will stand up to your biggest, toughest, dirtiest challenge.",,,,95 gal. / 359.6 liters,,,,Standard,13-WSHT95,13-SHTT,13-SHT30
13-WSHT95,95 Gal Multi-Responder Wheeled SHT Kit,13-WSHT95,Seriously Harzardous & Toxic,"Dealing with Seriously Hazardous and Toxic materials? Look no further! ENPAC® has created the most extreme weapon when it comes to fighting spills. Complete with the widest range of sorbent tools and protective gear, these kits will stand up to your biggest, toughest, dirtiest challenge.",,,,95 gal. / 359.6 liters,,,,Standard,13-SHTT,13-SHT30,13-WSHT50
13-SHTT,XL Tote Multi-Responder SHT Kit,13-SHTT,Seriously Harzardous & Toxic,"Dealing with Seriously Hazardous and Toxic materials? Look no further! ENPAC® has created the most extreme weapon when it comes to fighting spills. Complete with the widest range of sorbent tools and protective gear, these kits will stand up to your biggest, toughest, dirtiest challenge.",,,,223 gal. / 844 liters,,,,Standard,13-SHT30,13-WSHT50,13-SHT95
13-PPE ,P.P.E. SPILL PAK,13-PPE ,Personal Protective Equipment,Includes all the Personal Protect Equipment you will need to arm yourself for the fight against the toughest of spills.,,,,,,,,Standard,R14007,8050-BU,13-LRK
9001-BU,1 Drum Steel-Pal,9001-BU,"Long-lasting, Compliant containment","Comliant secondary spill containment for flammables and other hazardous chemicals. Key features include: leak free- 100% inspected sumps, heavy gauge steel for extended life, four-way forkliftable, galvanized steel grating, durable chemical-resistant finish. ",195 lbs. / 88.5 kg,600 lbs. / 272 kg,"EPA, SPCC, NPDES, and UFC",66 gal. / 249.8 liters,,,,Steel (Standard),9002-BU,9004-BU,9469-BU
9002-BU,2 Drum Steel-Pal,9002-BU,"Long-lasting, Compliant containment","Comliant secondary spill containment for flammables and other hazardous chemicals. Key features include: leak free- 100% inspected sumps, heavy gauge steel for extended life, four-way forkliftable, galvanized steel grating, durable chemical-resistant finish. ",205 lbs. / 93 kg,1200 lbs. / 544 kg,"EPA, SPCC, NPDES, and UFC",66 gal. / 249.8 liters,,,,Steel (Standard),9004-BU,9005-BU,9480-BU
9004-BU,4 Drum Steel-Pal,9004-BU,"Long-lasting, Compliant containment","Comliant secondary spill containment for flammables and other hazardous chemicals. Key features include: leak free- 100% inspected sumps, heavy gauge steel for extended life, four-way forkliftable, galvanized steel grating, durable chemical-resistant finish. ",270 lbs. / 122.5 kg,2400 lbs. / 1089 kg,"EPA, SPCC, NPDES, and UFC",66 gal. / 249.8 liters,,,,Steel (Standard),9005-BU,9469-BU,9020-BU
9005-BU,4 Drum Inline Steel-Pal,9005-BU,"Long-lasting, Compliant containment","Comliant secondary spill containment for flammables and other hazardous chemicals. Key features include: leak free- 100% inspected sumps, heavy gauge steel for extended life, four-way forkliftable, galvanized steel grating, durable chemical-resistant finish. ",380 lbs. / 172 kg,2400 lbs. / 1089 kg,"EPA, SPCC, NPDES, and UFC",66 gal. / 249.8 liters,,,,Steel (Standard),9469-BU,9480-BU,9040-BU
9469-BU,IBC Steel Tote,9469-BU,"Long-lasting, Compliant containment",Safely store hazardous chemicals in Intermediate Bulk Containers (IBC’s or Totes) over a compliant spill sump. One and two tote designs offer you the flexibility to choose the right sump for your application.,585 lbs. / 265 kg,5000 lbs. / 2268 kg,"EPA, SPCC, NPDES, and UFC",385 gal. / 1457.9 liters,,,,Steel (Standard),9480-BU,9020-BU,9012-BU
9480-BU,Double IBC Steel Tote,9480-BU,"Long-lasting, Compliant containment",Safely store hazardous chemicals in Intermediate Bulk Containers (IBC’s or Totes) over a compliant spill sump. One and two tote designs offer you the flexibility to choose the right sump for your application.,700 lbs. / 317.5 kg,10000 lbs. / 4536 kg,"EPA, SPCC, NPDES, and UFC",385 gal. / 1457.9 liters,,,,Steel (Standard),9020-BU,9040-BU,9014-BU
9020-BU,2 Drum Hazmat Locker,9020-BU,"Long-lasting, Compliant containment","HazMat Lockers are complete with lockable, hinged lid & doors for storing hazardous materials securely anywhere!",425 lbs. / 192.8 kg,1200 lbs. / 544 kg,"EPA, SPCC, NPDES, and UFC",66 gal. / 249.8 liters,,,,Steel (Standard),9040-BU,9012-BU,9140-BU
9040-BU,4 Drum Hazmat Locker,9040-BU,"Long-lasting, Compliant containment","HazMat Lockers are complete with lockable, hinged lid & doors for storing hazardous materials securely anywhere!",570 lbs. / 259 kg,2400 lbs. / 1089 kg,"EPA, SPCC, NPDES, and UFC",66 gal. / 249.8 liters,,,,Steel (Standard),9012-BU,9014-BU,9150-BU
9012-BU,2 Drum Steel Stacker,9012-BU,"Long-lasting, Compliant containment",Most spills occur when transporting chemicals. Safely and securely move your chemicals with our Stacker Transport Pallets with added side rails for efficient moving and stacking.,310 lbs. / 140.6 kg,1200 lbs. / 544 kg,"EPA, SPCC, NPDES, and UFC",66 gal. / 249.8 liters,,,,Steel (Standard),9014-BU,9140-BU,9160-BU
9014-BU,4 Drum Steel Stacker,9014-BU,"Long-lasting, Compliant containment",Most spills occur when transporting chemicals. Safely and securely move your chemicals with our Stacker Transport Pallets with added side rails for efficient moving and stacking.,385 lbs. / 174.6 kg,2400 lbs. / 1089 kg,"EPA, SPCC, NPDES, and UFC",66 gal. / 249.8 liters,,,,Steel (Standard),9140-BU,9150-BU,9170-BU
9140-BU,"Rack Sump Inserts For Racks: 96"" x 36""",9140-BU,"Long-lasting, Compliant containment","Designed to fit your pallet racks, this economical Sump Insert installs quickly and can help you comply with containment regulations while keeping you safe and spill-free!",385 lbs. / 174.6 kg,250 PSF,"EPA, SPCC, and NPDES",58 gal. / 220 liters,,,,Steel (Standard),9150-BU,9160-BU,9001-BU
9150-BU,"Rack Sump Inserts For Racks: 108"" x 36""",9150-BU,"Long-lasting, Compliant containment","Designed to fit your pallet racks, this economical Sump Insert installs quickly and can help you comply with containment regulations while keeping you safe and spill-free!",392 lbs. / 178 kg,250 PSF,"EPA, SPCC, and NPDES",65 gal. / 246 liters,,,,Steel (Standard),9160-BU,9170-BU,9002-BU
9160-BU,"Rack Sump Inserts For Racks: 96"" x 42""",9160-BU,"Long-lasting, Compliant containment","Designed to fit your pallet racks, this economical Sump Insert installs quickly and can help you comply with containment regulations while keeping you safe and spill-free!",335 lbs. / 152 kg,250 PSF,"EPA, SPCC, and NPDES",70 gal. / 265 liters,,,,Steel (Standard),9170-BU,9001-BU,9004-BU
9170-BU,"Rack Sump Inserts For Racks: 108"" x 42""",9170-BU,"Long-lasting, Compliant containment","Designed to fit your pallet racks, this economical Sump Insert installs quickly and can help you comply with containment regulations while keeping you safe and spill-free!",452 lbs. / 205 kg,250 PSF,"EPA, SPCC, and NPDES",79 gal. / 299 liters,,,,Steel (Standard),9001-BU,9002-BU,9005-BU
